Nombre,Plataforma,Año,Género,Compañía,USA,Europa,Japón,Otros
Wii Sports,Nintendo Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45
Super Mario Bros.,NES (Nintendo Entertainment System),1985,Platform,Nintendo,29.08,3.58,6.81,0.77
Mario Kart Wii,Nintendo Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29
Wii Sports Resort,Nintendo Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95
Pokemon Red/Pokemon Blue,Nintendo Game Boy,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0
Tetris,Nintendo Game Boy,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58
New Super Mario Bros.,Nintendo Dual Screen,2006,Platform,Nintendo,11.28,9.14,6.5,2.88
Wii Play,Nintendo Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84
New Super Mario Bros. Wii,Nintendo Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24
Duck Hunt,NES (Nintendo Entertainment System),1984,Shooter,Nintendo,26.93,0.63,0.28,0.47
Nintendogs,Nintendo Dual Screen,2005,Simulation,Nintendo,9.05,10.95,1.93,2.74
Mario Kart DS,Nintendo Dual Screen,2005,Racing,Nintendo,9.71,7.47,4.13,1.9
Pokemon Gold/Pokemon Silver,Nintendo Game Boy,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71
Wii Fit,Nintendo Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15
Kinect Adventures!,Xbox360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69
Wii Fit Plus,Nintendo Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77
Grand Theft Auto V,PlayStation3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96
Grand Theft Auto: San Andreas,PlayStation2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57
Super Mario World,Super Nintendo Entertainment System,1990,Platform,Nintendo,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,Nintendo Dual Screen,2005,Misc,Nintendo,4.74,9.2,4.16,2.04
Pokemon Diamond/Pokemon Pearl,Nintendo Dual Screen,2006,Role-Playing,Nintendo,6.38,4.46,6.04,1.36
Super Mario Land,Nintendo Game Boy,1989,Platform,Nintendo,10.83,2.71,4.18,0.42
Super Mario Bros. 3,NES (Nintendo Entertainment System),1988,Platform,Nintendo,9.54,3.44,3.84,0.46
Grand Theft Auto V,Xbox360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41
Grand Theft Auto: Vice City,PlayStation2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,Game Boy Advance,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5
Brain Age 2: More Training in Minutes a Day,Nintendo Dual Screen,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18
Pokemon Black/Pokemon White,Nintendo Dual Screen,2010,Role-Playing,Nintendo,5.51,3.17,5.65,0.8
Gran Turismo 3: A-Spec,PlayStation2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3,Xbox360,2011,Shooter,Activision,9.04,4.24,0.13,1.32
PokÃ©mon Yellow: Special Pikachu Edition,Nintendo Game Boy,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59
Call of Duty: Black Ops 3,PlayStation4,2015,Shooter,Activision,6.03,5.86,0.36,2.38
Call of Duty: Black Ops,Xbox360,2010,Shooter,Activision,9.7,3.68,0.11,1.13
Pokemon X/Pokemon Y,Nintendo 3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78
